LocalProcessTimeDiffMs,LocalTimeDiffMs,LocalMonotonicDiffMs,RemoteDiffTimeMs
31.250000000,615.779638290,625.000000000,543.818115234
0.000000000,612.008094788,608.999999939,541.040283203
15.625000000,608.740091324,608.999999939,539.854492188
15.625000000,612.123012543,608.999999939,540.021484375
0.000000000,626.685619354,625.000000000,554.897949219
15.625000000,618.013620377,625.000000000,547.089843750
0.000000000,622.706174850,625.000000000,551.917236328
0.000000000,616.858005524,625.000000000,545.010253906
0.000000000,612.195491791,609.999999870,540.956298828
0.000000000,606.195449829,608.999999939,537.679931641
0.000000000,609.847068787,609.000000171,539.353271484
0.000000000,604.800462723,594.000000041,536.313476562
15.625000000,612.585067749,625.000000000,542.481445312
0.000000000,631.350994110,625.000000000,559.783935547
0.000000000,611.512184143,608.999999939,541.246093750
0.000000000,628.618001938,625.000000000,557.365722656
0.000000000,616.408824921,625.000000000,545.650146484
0.000000000,613.659143448,608.999999939,542.109375000
31.250000000,618.216753006,625.000000000,547.338134766
0.000000000,609.830617905,609.000000171,538.116455078
31.250000000,612.716674805,625.000000000,541.259033203
15.625000000,611.031293869,609.000000171,539.324707031
0.000000000,616.502285004,625.000000000,545.299560547
0.000000000,615.152835846,610.000000102,544.733886719
31.250000000,621.511697769,609.000000171,552.584716797
0.000000000,617.058038712,609.000000171,545.649902344
0.000000000,623.777151108,625.000000000,552.915039062
0.000000000,608.721494675,593.000000110,538.133789062
15.625000000,603.296756744,594.000000041,532.214111328
0.000000000,618.728876114,610.000000102,546.822021484
31.250000000,610.631227493,625.000000000,539.072021484
15.625000000,618.346691132,609.999999870,547.418701172
31.250000000,608.638048172,594.000000041,537.075927734
31.250000000,622.350454330,625.000000000,551.986328125
15.625000000,611.369371414,609.999999870,539.564697266
0.000000000,626.766681671,625.000000000,554.977050781
15.625000000,613.221645355,625.000000000,542.208496094
15.625000000,609.117746353,609.999999870,538.786376953
0.000000000,619.885206223,625.000000000,548.583251953
15.625000000,618.024349213,625.000000000,547.443603516
31.250000000,606.860876083,609.999999870,538.181640625
31.250000000,616.037368774,608.999999939,542.150878906
15.625000000,615.167379379,625.000000000,542.121093750
0.000000000,620.355367661,625.000000000,548.757080078
15.625000000,616.774082184,608.999999939,546.393798828
15.625000000,619.014263153,609.999999870,546.616699219
0.000000000,608.349561691,593.999999808,539.513916016
31.250000000,606.370210648,608.999999939,536.160400391
15.625000000,622.964143753,625.000000000,552.370361328
0.000000000,621.248960495,625.000000000,540.899658203
31.250000000,618.164539337,608.999999939,546.628906250
15.625000000,611.354351044,609.999999870,538.388671875
0.000000000,613.445281982,608.999999939,541.932861328
15.625000000,617.581605911,625.000000000,546.248291016
0.000000000,604.668855667,608.999999939,536.354736328
0.000000000,612.608671188,609.000000171,542.544677734
0.000000000,595.966100693,594.000000041,527.717773438
15.625000000,635.686874390,639.999999898,555.325195312
0.000000000,616.929769516,609.000000171,545.385009766
15.625000000,617.007017136,625.000000000,545.389404297
0.000000000,609.853267670,610.000000102,539.991455078
0.000000000,602.902650833,609.999999870,531.822753906
0.000000000,608.114957809,608.999999939,537.485107422
0.000000000,614.947319031,625.000000000,544.155273438
0.000000000,614.185333252,608.999999939,543.870361328
31.250000000,609.095335007,608.999999939,538.646972656
15.625000000,609.652757645,609.000000171,541.418457031
0.000000000,614.630222321,610.000000102,542.356201172
15.625000000,617.270231247,609.000000171,545.178955078
0.000000000,613.075971603,609.999999870,542.826171875
15.625000000,600.994348526,594.000000041,531.424072266
31.250000000,612.355709076,625.000000000,543.400634766
0.000000000,613.784551620,608.999999939,542.979736328
15.625000000,620.965242386,625.000000000,549.062744141
15.625000000,627.233743668,625.000000000,556.747558594
31.250000000,615.978717804,609.999999870,544.316406250
0.000000000,624.453306198,625.000000000,553.664550781
15.625000000,621.882677078,609.000000171,550.534179688
0.000000000,614.211082458,609.000000171,543.672607422
0.000000000,620.917320251,625.000000000,550.397460938
15.625000000,624.150991440,625.000000000,552.189697266
0.000000000,607.369661331,609.000000171,539.036621094
0.000000000,613.805532455,625.000000000,542.388183594
15.625000000,601.419210434,594.000000041,532.305908203
15.625000000,609.351873398,609.999999870,540.745117188
31.250000000,612.110137939,608.999999939,541.422363281
0.000000000,622.128963470,625.000000000,551.213378906
15.625000000,621.073484421,625.000000000,549.983398438
15.625000000,614.574193954,625.000000000,543.529296875
0.000000000,600.092172623,593.999999808,531.976318359
0.000000000,614.561080933,625.000000000,543.457519531
15.625000000,611.399888992,609.000000171,540.635986328
0.000000000,616.350412369,625.000000000,545.072265625
15.625000000,594.282627106,594.000000041,526.719970703
0.000000000,615.612983704,625.000000000,544.354003906
31.250000000,615.540027618,608.999999939,544.627197266
0.000000000,614.234209061,625.000000000,543.766845703
0.000000000,613.628387451,608.999999939,542.532714844
15.625000000,598.209857941,609.000000171,529.711669922
0.000000000,614.556074142,610.000000102,543.339599609
31.250000000,615.787029266,625.000000000,544.781005859
15.625000000,623.939037323,625.000000000,552.410400391
0.000000000,615.370988846,625.000000000,544.046386719
0.000000000,622.561693192,625.000000000,551.673339844
15.625000000,599.832296371,594.000000041,531.085937500
15.625000000,625.201702118,625.000000000,553.152832031
0.000000000,630.355119705,625.000000000,558.820800781
0.000000000,615.155220032,625.000000000,543.333251953
31.250000000,615.595102310,608.999999939,544.032714844
15.625000000,623.924255371,608.999999939,552.317626953
15.625000000,616.049528122,608.999999939,544.976318359
0.000000000,606.631278992,608.999999939,535.640869141
31.250000000,604.817867279,609.000000171,536.085937500
0.000000000,617.280960083,625.000000000,545.108886719
0.000000000,612.297773361,610.000000102,541.687988281
15.625000000,605.637311935,609.999999870,537.385742188
15.625000000,613.937377930,625.000000000,544.747802734
0.000000000,619.611740112,625.000000000,548.693115234
0.000000000,616.670370102,609.999999870,544.110595703
15.625000000,628.028869629,625.000000000,557.335449219
31.250000000,621.767520905,625.000000000,550.947753906
0.000000000,615.228176117,609.000000171,544.838378906
0.000000000,608.011960983,594.000000041,536.609619141
15.625000000,612.835407257,610.000000102,541.555419922
15.625000000,601.234197617,609.999999870,532.597900391
15.625000000,613.289594650,608.999999939,542.196533203
0.000000000,612.261533737,609.000000171,539.429687500
15.625000000,609.650850296,608.999999939,538.179443359
15.625000000,606.005907059,609.000000171,537.217773438
15.625000000,618.914604187,625.000000000,547.883789062
15.625000000,622.207641602,625.000000000,550.890136719
0.000000000,627.120494843,625.000000000,556.294677734
15.625000000,606.152772903,609.000000171,537.798095703
15.625000000,607.225656509,610.000000102,538.666503906
0.000000000,609.081268311,609.999999870,536.744628906
15.625000000,603.781461716,593.999999808,535.529785156
0.000000000,610.871791840,609.000000171,539.686767578
15.625000000,626.587629318,625.000000000,554.814453125
0.000000000,608.203172684,608.999999939,536.882568359
0.000000000,609.960794449,609.000000171,538.422851562
15.625000000,615.479707718,625.000000000,544.358886719
0.000000000,608.884572983,609.000000171,537.910888672
0.000000000,610.249042511,609.999999870,538.025390625
0.000000000,613.503217697,610.000000102,541.496582031
0.000000000,631.723880768,625.000000000,559.776123047
15.625000000,608.673334122,609.000000171,537.753662109
15.625000000,612.963199615,610.000000102,540.853759766
15.625000000,621.173381805,625.000000000,549.870361328
46.875000000,614.667892456,625.000000000,542.546142578
31.250000000,612.381696701,610.000000102,541.811035156
0.000000000,623.371362686,625.000000000,552.213623047
15.625000000,619.338512421,625.000000000,548.804199219
0.000000000,606.116056442,610.000000102,538.297363281
15.625000000,615.801572800,625.000000000,543.991455078
15.625000000,616.985321045,609.999999870,545.011718750
15.625000000,612.637758255,625.000000000,544.470947266
15.625000000,614.350557327,609.999999870,543.315673828
31.250000000,618.263006210,625.000000000,546.993164062
0.000000000,602.360010147,608.999999939,534.664794922
15.625000000,630.828380585,625.000000000,559.188232422
15.625000000,612.559556961,609.999999870,542.160400391
0.000000000,616.284608841,608.999999939,545.381103516
31.250000000,607.528448105,609.999999870,536.788818359
15.625000000,622.818946838,625.000000000,551.260009766
15.625000000,614.320278168,608.999999939,543.439941406
0.000000000,617.293596268,625.000000000,546.044433594
0.000000000,622.067689896,625.000000000,551.771972656
0.000000000,619.562864304,625.000000000,548.493652344
0.000000000,607.802629471,609.999999870,536.833496094
0.000000000,615.651130676,625.000000000,544.033203125
15.625000000,607.524156570,608.999999939,539.243164062
31.250000000,603.102207184,608.999999939,534.625488281
15.625000000,612.647056580,609.000000171,542.394287109
15.625000000,609.828233719,609.999999870,538.649169922
0.000000000,600.143909454,608.999999939,531.707275391
15.625000000,631.283760071,625.000000000,563.541503906
0.000000000,618.168592453,609.999999870,547.256835938
46.875000000,635.528802872,639.999999898,566.846923828
15.625000000,1084.484815598,1094.000000041,1013.318847656
0.000000000,652.710199356,655.999999959,582.855957031
15.625000000,637.409687042,640.000000130,566.438964844
0.000000000,612.092971802,609.999999870,544.043212891
15.625000000,627.186298370,625.000000000,555.850830078
0.000000000,611.116886139,609.000000171,539.443359375
0.000000000,614.002227783,625.000000000,543.328125000
0.000000000,662.025928497,656.000000192,591.321777344
0.000000000,638.881206512,640.999999829,567.190917969
15.625000000,600.191354752,608.999999939,532.273437500
15.625000000,616.007328033,625.000000000,545.107666016
15.625000000,610.032796860,609.000000171,541.097900391
15.625000000,616.977691650,625.000000000,546.069580078
15.625000000,608.070373535,609.000000171,537.088134766
0.000000000,616.007566452,609.999999870,545.021484375
15.625000000,611.020326614,610.000000102,540.009277344
0.000000000,627.003908157,625.000000000,555.988037109
31.250000000,631.028413773,640.999999829,559.930175781
